"7.71","7.6","6.9","7.83"
"8.1","7.31","7.28","8.47"
"8.58","7.54","9.0","7.08"
"4.94","6.01","6.12","8.06"
"6.96","3.92","7.19","6.05"
"8.27","3.92","7.0","8.03"
"7.44","3.73","7.08","7.04"
"7.32","2.55","6.32","5.87"
"4.04","3.29","3.62","5.99"
"1.99","4.86","2.04","7.09"
"2.99","2.36","3.63","6.24"
"2.71","2.77","3.4","7.35"
"1.95","3.12","2.87","6.18"
"4.18","2.24","3.04","5.04"
"3.17","8.08","2.91","5.04"
"6.81","7.44","8.15","7.14"
"2.46","6.91","6.77","6.41"
"7.23","7.15","6.94","8.01"
"7.17","8.0","8.1","6.79"
"8.26","7.91","7.19","8.13"
"9.0","7.95","8.37","7.86"
"7.09","2.08","7.06","7.37"
"8.15","3.01","7.37","7.9"
"7.04","7.09","8.01","8.22"
"8.86","7.21","8.65","7.21"
"7.28","7.27","7.41","8.24"
"7.35","6.95","7.03","7.29"
"3.88","3.35","4.01","7.87"
"1.36","2.27","3.0","8.14"
"2.08","2.99","3.22","7.33"
"3.03","8.14","2.86","8.04"
"2.28","8.0","3.27","3.95"
"3.81","3.85","4.78","5.13"
"2.28","7.09","7.28","6.92"
"2.06","8.15","8.05","5.18"
"2.9","6.92","6.5","3.87"
"2.31","6.88","3.1","6.77"
"3.33","7.18","6.54","6.62"
"3.24","6.18","7.87","6.15"
"5.1","7.12","6.17","5.97"
